energy,s055,s056,s057,s058,s059,mean
2.481579999999999927e+03,3.891217999999999844e+00,4.127339000000000091e+00,3.990123999999999782e+00,4.425816000000000194e+00,4.140043000000000362e+00,4.114907999999999788e+00
2.481829999999999927e+03,5.062574999999999825e+00,4.930760000000000254e+00,4.923866000000000298e+00,4.960142000000000273e+00,5.277318000000000175e+00,5.030932200000000520e+00
2.482079999999999927e+03,5.034182999999999630e+00,5.167233999999999661e+00,5.044519000000000197e+00,5.046748000000000012e+00,5.113865999999999801e+00,5.081310000000000215e+00
2.482320000000000164e+03,4.787192000000000114e+00,4.722322000000000131e+00,4.803594000000000364e+00,4.840092000000000283e+00,4.859840000000000160e+00,4.802607999999999322e+00
2.482570000000000164e+03,4.395552999999999599e+00,4.490204000000000306e+00,4.337988000000000177e+00,4.445599999999999774e+00,4.587907000000000401e+00,4.451450400000000585e+00
2.482819999999999709e+03,3.657588000000000061e+00,3.547670000000000101e+00,3.304514999999999869e+00,3.747301999999999911e+00,3.989059999999999828e+00,3.649226999999999776e+00
2.483059999999999945e+03,2.907434999999999992e+00,3.051010000000000222e+00,2.873747999999999969e+00,2.810308000000000028e+00,3.123606000000000105e+00,2.953221399999999885e+00
2.483309999999999945e+03,2.241331000000000184e+00,2.437111999999999945e+00,2.333185999999999982e+00,2.195516000000000023e+00,2.493917000000000161e+00,2.340212399999999526e+00
2.483560000000000400e+03,1.809735000000000094e+00,1.926085000000000047e+00,1.775918000000000108e+00,1.869923999999999920e+00,1.896433999999999953e+00,1.855619200000000024e+00
2.483809999999999945e+03,1.314810000000000034e+00,1.434229999999999894e+00,1.449340999999999990e+00,1.704622000000000082e+00,1.475711999999999913e+00,1.475743000000000027e+00
2.484049999999999727e+03,1.369790000000000063e+00,1.356170000000000098e+00,1.301350999999999924e+00,1.250188000000000077e+00,1.310146999999999951e+00,1.317529200000000067e+00
2.484300000000000182e+03,1.213049000000000044e+00,1.206002000000000018e+00,1.162282000000000037e+00,1.259336999999999929e+00,1.190066999999999986e+00,1.206147399999999870e+00
2.484550000000000182e+03,1.076063999999999909e+00,1.143953999999999915e+00,9.612393000000000187e-01,1.302643999999999913e+00,1.020885000000000042e+00,1.100957259999999938e+00
2.484799999999999727e+03,1.054481000000000002e+00,1.073987999999999943e+00,1.072135999999999978e+00,1.084171999999999914e+00,1.104252999999999929e+00,1.077806000000000042e+00
2.485039999999999964e+03,1.033792000000000044e+00,1.010175000000000045e+00,9.904334000000000193e-01,9.945667999999999731e-01,8.266839000000000270e-01,9.711302200000000440e-01
2.485289999999999964e+03,1.030528000000000111e+00,1.057792000000000066e+00,1.072931000000000079e+00,9.942592999999999570e-01,9.274938999999999822e-01,1.016600840000000172e+00
2.485539999999999964e+03,1.003109999999999946e+00,8.794520000000000115e-01,1.036559999999999926e+00,9.853104000000000307e-01,9.416503000000000512e-01,9.692165400000000153e-01
2.485789999999999964e+03,8.847625999999999546e-01,1.039687000000000028e+00,8.744596999999999509e-01,8.677614000000000161e-01,9.093004000000000087e-01,9.151942200000000582e-01
2.486029999999999745e+03,8.246430999999999623e-01,7.509945999999999566e-01,7.212536999999999976e-01,9.700216999999999867e-01,9.469748000000000054e-01,8.427775799999999151e-01
2.486279999999999745e+03,8.260079999999999645e-01,7.886071000000000053e-01,8.546158000000000365e-01,8.070557999999999899e-01,8.163420999999999594e-01,8.185257599999999911e-01
2.486530000000000200e+03,9.117811999999999584e-01,7.625049999999999883e-01,7.889937999999999674e-01,8.883596999999999744e-01,8.231773000000000007e-01,8.349634000000000222e-01
2.486780000000000200e+03,9.108154000000000527e-01,7.119366000000000305e-01,7.928256000000000192e-01,8.567185999999999968e-01,9.287237000000000409e-01,8.402039800000000724e-01
2.487029999999999745e+03,6.992317000000000116e-01,7.781114000000000086e-01,8.119760999999999784e-01,7.949718999999999536e-01,8.394953000000000554e-01,7.847572800000000015e-01
2.487280000000000200e+03,6.889222999999999875e-01,8.365114999999999634e-01,7.863289999999999447e-01,7.475043999999999578e-01,7.919247999999999843e-01,7.702383999999999897e-01
2.487519999999999982e+03,7.591892000000000085e-01,6.713407999999999598e-01,7.842076000000000047e-01,7.749460999999999711e-01,8.124506000000000228e-01,7.604268600000001488e-01
2.487769999999999982e+03,8.229589000000000487e-01,7.374298000000000242e-01,8.094622000000000206e-01,7.273722000000000243e-01,7.772772000000000014e-01,7.749000600000000016e-01
2.488019999999999982e+03,6.940083999999999698e-01,6.966021999999999492e-01,7.204557000000000322e-01,7.533241000000000520e-01,8.677415000000000544e-01,7.464263800000000559e-01
2.488269999999999982e+03,8.590769000000000322e-01,7.606848999999999972e-01,7.308584999999999665e-01,7.903710999999999931e-01,7.693972000000000033e-01,7.820777199999999763e-01
2.488519999999999982e+03,7.835898000000000030e-01,7.334502000000000521e-01,7.774208000000000229e-01,7.514494999999999925e-01,7.671396999999999800e-01,7.626100000000001211e-01
2.488769999999999982e+03,9.379458000000000517e-01,7.129971000000000503e-01,7.126592000000000482e-01,8.738685999999999954e-01,8.456928000000000223e-01,8.166327000000001002e-01
2.489019999999999982e+03,7.281237999999999877e-01,8.194251000000000174e-01,8.350961999999999552e-01,8.214795999999999765e-01,8.871111999999999886e-01,8.182471799999999629e-01
2.489269999999999982e+03,8.850419000000000480e-01,8.952067999999999692e-01,9.122498999999999469e-01,8.449695000000000400e-01,7.750167000000000028e-01,8.624969599999999792e-01
2.489519999999999982e+03,8.580313000000000523e-01,9.412918999999999592e-01,9.364810000000000079e-01,7.985107000000000177e-01,9.777664999999999829e-01,9.024162799999999596e-01
2.489769999999999982e+03,7.613851000000000369e-01,9.252964999999999662e-01,8.782548999999999495e-01,8.363279999999999603e-01,8.336221000000000325e-01,8.469773200000000335e-01
2.490009999999999764e+03,9.817105000000000414e-01,9.569663999999999948e-01,8.012456000000000023e-01,9.010559999999999681e-01,9.931577999999999795e-01,9.268272599999999306e-01
2.490260000000000218e+03,1.020925000000000082e+00,1.008569999999999967e+00,9.519701000000000413e-01,8.710932999999999593e-01,9.888590000000000435e-01,9.682834799999999742e-01
2.490510000000000218e+03,9.722838999999999787e-01,8.530765000000000153e-01,9.462367000000000417e-01,8.896724999999999772e-01,1.020156999999999980e+00,9.362853199999999765e-01
2.490759999999999764e+03,1.096848999999999963e+00,8.206284000000000356e-01,9.702895000000000270e-01,8.796517000000000364e-01,9.701117000000000212e-01,9.475060600000000388e-01
2.491010000000000218e+03,1.091077999999999992e+00,1.023716000000000070e+00,1.089401999999999981e+00,1.023125000000000062e+00,1.053171000000000079e+00,1.056098399999999993e+00
2.491260000000000218e+03,1.032475000000000032e+00,1.038699999999999957e+00,9.271875000000000533e-01,1.159785000000000066e+00,1.217441999999999913e+00,1.075117899999999960e+00
2.491509999999999764e+03,1.104638999999999927e+00,1.011354000000000086e+00,1.118400999999999978e+00,1.166690000000000005e+00,9.841651000000000149e-01,1.077049820000000047e+00
2.491760000000000218e+03,1.121242000000000072e+00,9.784969000000000028e-01,1.080027000000000070e+00,1.132265000000000077e+00,9.638980000000000325e-01,1.055185780000000184e+00
2.492010000000000218e+03,1.029760999999999926e+00,1.133091999999999988e+00,1.094899999999999984e+00,1.111310000000000020e+00,1.216471999999999998e+00,1.117107000000000072e+00
2.492259999999999764e+03,1.132784000000000013e+00,1.045166000000000039e+00,1.166036000000000072e+00,1.138571999999999917e+00,1.028736000000000095e+00,1.102258799999999983e+00
2.492509999999999764e+03,1.283560999999999952e+00,1.149985999999999953e+00,9.980887999999999982e-01,1.049797000000000091e+00,1.096036999999999928e+00,1.115493960000000007e+00
2.492760000000000218e+03,1.069614999999999982e+00,1.194113999999999898e+00,1.129234999999999989e+00,1.163365999999999900e+00,1.213611999999999913e+00,1.153988399999999803e+00
2.493019999999999982e+03,1.033816000000000068e+00,1.023009999999999975e+00,1.230223000000000066e+00,1.132746999999999948e+00,1.083315000000000028e+00,1.100622199999999884e+00
2.493269999999999982e+03,1.229300000000000059e+00,1.059773000000000076e+00,1.218860999999999972e+00,1.209656999999999982e+00,1.308449999999999891e+00,1.205208199999999952e+00
2.493519999999999982e+03,1.273273000000000099e+00,1.300634999999999986e+00,1.125763999999999987e+00,1.179410999999999987e+00,1.039619999999999989e+00,1.183740600000000143e+00
2.493769999999999982e+03,1.237090999999999941e+00,1.196463999999999972e+00,1.218966999999999912e+00,1.245376999999999956e+00,1.178163000000000071e+00,1.215212399999999970e+00
