energy,s023,s024,s025,mean
2.489269999999999982e+03,8.498721999999999666e-01,8.726059000000000454e-01,8.823889000000000316e-01,8.682889999999999775e-01
2.489519999999999982e+03,9.654184999999999572e-01,8.842892999999999448e-01,8.401882999999999990e-01,8.966320333333333004e-01
2.489769999999999982e+03,9.203907999999999534e-01,9.134400000000000297e-01,9.265767999999999782e-01,9.201358666666665798e-01
2.490009999999999764e+03,8.637040999999999746e-01,8.068151999999999546e-01,9.077794999999999614e-01,8.594329333333332599e-01
2.490260000000000218e+03,9.202922999999999520e-01,9.600581000000000254e-01,9.693226000000000342e-01,9.498910000000000409e-01
2.490510000000000218e+03,9.962794000000000372e-01,8.336769000000000540e-01,9.680598999999999732e-01,9.326720666666666881e-01
2.490759999999999764e+03,9.302380000000000093e-01,9.593591000000000202e-01,1.003300999999999998e+00,9.642993666666667130e-01
2.491010000000000218e+03,1.070087000000000010e+00,8.446919000000000510e-01,1.009463999999999917e+00,9.747476333333332521e-01
2.491260000000000218e+03,9.773663999999999685e-01,1.027161999999999908e+00,1.026259999999999950e+00,1.010262799999999794e+00
2.491509999999999764e+03,1.008116000000000012e+00,9.514780000000000459e-01,9.763106000000000284e-01,9.786348666666667695e-01
2.491760000000000218e+03,1.090983000000000036e+00,1.156700999999999979e+00,1.059463000000000044e+00,1.102382333333333353e+00
2.492010000000000218e+03,1.039074999999999971e+00,1.118478000000000083e+00,1.188261000000000012e+00,1.115271333333333281e+00
2.492259999999999764e+03,1.138630000000000031e+00,1.108008000000000104e+00,1.182277000000000022e+00,1.142971666666666719e+00
2.492509999999999764e+03,1.134441000000000033e+00,1.142735999999999974e+00,1.244386999999999910e+00,1.173854666666666491e+00
2.492760000000000218e+03,1.145896999999999943e+00,1.135491999999999946e+00,1.135069000000000106e+00,1.138819333333333406e+00
2.493019999999999982e+03,1.168557999999999986e+00,1.234344000000000108e+00,1.251454000000000066e+00,1.218118666666666572e+00
2.493269999999999982e+03,1.159801000000000082e+00,1.271298999999999957e+00,1.047317000000000053e+00,1.159472333333333216e+00
2.493519999999999982e+03,1.139410999999999952e+00,1.139032999999999962e+00,1.155759999999999899e+00,1.144734666666666678e+00
2.493769999999999982e+03,1.177249999999999908e+00,1.178914999999999935e+00,1.154935000000000045e+00,1.170366666666666555e+00
2.494019999999999982e+03,1.231738000000000000e+00,1.155286999999999953e+00,1.211076000000000041e+00,1.199366999999999850e+00
2.494270000000000437e+03,1.103574000000000055e+00,1.058033999999999919e+00,1.227850000000000108e+00,1.129819333333333509e+00
2.494519999999999982e+03,1.157443999999999917e+00,1.221845999999999988e+00,1.181839000000000084e+00,1.187043000000000070e+00
2.494769999999999982e+03,1.214301999999999992e+00,1.127879999999999994e+00,1.223530999999999924e+00,1.188571000000000044e+00
2.495019999999999982e+03,1.128867999999999983e+00,1.225602000000000080e+00,1.141081000000000012e+00,1.165183666666666618e+00
2.495269999999999982e+03,1.211130999999999958e+00,1.016423999999999994e+00,1.209381999999999957e+00,1.145645666666666562e+00
