energy,s008,s009,s010,s011,s012,s013,s014,s015,mean
2.473990000000000236e+03,6.719840999999999731e-01,7.067702999999999625e-01,7.553147000000000055e-01,7.776051999999999964e-01,6.302065000000000028e-01,7.504267999999999494e-01,7.863202999999999721e-01,7.763257000000000074e-01,7.318691999999999975e-01
2.474230000000000018e+03,7.396093999999999724e-01,7.093808000000000336e-01,8.465859999999999497e-01,7.139254000000000433e-01,6.748916000000000359e-01,7.073513000000000162e-01,7.704229999999999690e-01,6.941085999999999645e-01,7.320345124999999564e-01
2.474479999999999563e+03,6.805541000000000507e-01,7.114825999999999651e-01,7.581434000000000228e-01,6.504180999999999990e-01,6.240571000000000312e-01,7.501290000000000457e-01,7.013669999999999627e-01,7.262889000000000150e-01,7.003050250000000254e-01
2.474720000000000255e+03,7.032256999999999536e-01,7.026236999999999622e-01,6.703445999999999572e-01,5.537121999999999877e-01,6.467209000000000430e-01,6.260514999999999830e-01,6.630032999999999621e-01,6.846056999999999837e-01,6.562859500000000068e-01
2.474960000000000036e+03,6.445068000000000463e-01,6.278652999999999595e-01,6.167534000000000072e-01,6.426456000000000390e-01,6.084300999999999737e-01,6.399097999999999731e-01,6.800945000000000462e-01,6.625803000000000109e-01,6.403482250000001041e-01
2.475210000000000036e+03,5.331025999999999820e-01,5.516071000000000168e-01,6.084891000000000050e-01,5.172575999999999841e-01,4.656888000000000138e-01,5.018080999999999792e-01,5.541846000000000272e-01,5.705396000000000356e-01,5.378346874999999638e-01
2.475449999999999818e+03,5.348486999999999547e-01,5.442065999999999848e-01,5.171809000000000545e-01,5.262008000000000241e-01,4.949722999999999762e-01,5.114874000000000365e-01,5.844363000000000197e-01,5.326672000000000073e-01,5.307500250000000142e-01
2.475699999999999818e+03,5.242869999999999475e-01,5.494637999999999467e-01,6.074600000000000000e-01,5.910887000000000224e-01,5.589336999999999778e-01,5.130225999999999953e-01,5.558617000000000141e-01,5.518492999999999871e-01,5.564958500000000141e-01
2.475940000000000055e+03,5.253282999999999703e-01,4.991573999999999733e-01,5.829680000000000417e-01,5.446803999999999535e-01,4.704124000000000083e-01,5.530871000000000537e-01,5.519431000000000198e-01,5.992085000000000328e-01,5.408481499999999720e-01
2.476190000000000055e+03,5.491586000000000523e-01,5.793618999999999852e-01,5.686242000000000241e-01,4.974365000000000037e-01,5.102415999999999618e-01,5.260934999999999917e-01,5.459239999999999648e-01,5.995023999999999909e-01,5.470428375000000454e-01
