energy,s032,s033,mean
2.483809999999999945e+03,1.765711000000000030e+00,1.584491000000000094e+00,1.675101000000000173e+00
2.484049999999999727e+03,1.506107000000000085e+00,1.446412000000000031e+00,1.476259500000000058e+00
2.484300000000000182e+03,1.288464000000000054e+00,1.157923999999999953e+00,1.223193999999999892e+00
2.484550000000000182e+03,1.160339999999999927e+00,9.507149999999999768e-01,1.055527499999999952e+00
2.484799999999999727e+03,9.543044000000000526e-01,1.053778000000000103e+00,1.004041200000000078e+00
2.485039999999999964e+03,1.048958999999999975e+00,1.042443000000000008e+00,1.045700999999999992e+00
2.485289999999999964e+03,7.542822999999999611e-01,8.017011000000000553e-01,7.779917000000000638e-01
2.485539999999999964e+03,9.585717000000000265e-01,7.239607000000000125e-01,8.412661999999999640e-01
2.485789999999999964e+03,9.361235999999999446e-01,8.507698000000000205e-01,8.934466999999999270e-01
2.486029999999999745e+03,7.224270999999999887e-01,7.571174000000000515e-01,7.397722500000000201e-01
2.486279999999999745e+03,6.576773999999999676e-01,8.417907999999999502e-01,7.497340999999999589e-01
2.486530000000000200e+03,8.264553000000000038e-01,7.906912999999999858e-01,8.085732999999999393e-01
2.486780000000000200e+03,6.694419000000000342e-01,6.006660000000000332e-01,6.350539500000000892e-01
2.487029999999999745e+03,7.153821999999999681e-01,7.204363000000000294e-01,7.179092499999999433e-01
2.487280000000000200e+03,7.272461000000000064e-01,8.720354999999999634e-01,7.996407999999999294e-01
2.487519999999999982e+03,6.966080000000000050e-01,6.754761000000000237e-01,6.860420499999999588e-01
2.487769999999999982e+03,6.371698000000000084e-01,8.121555000000000302e-01,7.246626499999999638e-01
2.488019999999999982e+03,7.602607999999999588e-01,6.347739999999999494e-01,6.975173999999999541e-01
2.488269999999999982e+03,7.341161999999999965e-01,7.119874000000000480e-01,7.230518000000000223e-01
2.488519999999999982e+03,7.586891999999999525e-01,7.158109999999999751e-01,7.372501000000000193e-01
2.488769999999999982e+03,7.744805000000000161e-01,7.266204000000000551e-01,7.505504499999999801e-01
2.489019999999999982e+03,8.356732000000000049e-01,8.477478999999999987e-01,8.417105499999999463e-01
2.489269999999999982e+03,9.340998000000000356e-01,8.991230999999999529e-01,9.166114499999999943e-01
2.489519999999999982e+03,7.766534000000000493e-01,7.123557000000000361e-01,7.445045500000000427e-01
2.489769999999999982e+03,1.019579999999999931e+00,9.700558000000000236e-01,9.948178999999999217e-01
2.490009999999999764e+03,8.394802999999999571e-01,8.637494000000000005e-01,8.516148500000000343e-01
2.490260000000000218e+03,1.000663000000000080e+00,9.688592000000000315e-01,9.847611000000000558e-01
2.490510000000000218e+03,9.849039000000000543e-01,9.089211999999999847e-01,9.469125499999999640e-01
2.490759999999999764e+03,1.175295999999999896e+00,9.395820999999999756e-01,1.057439049999999936e+00
2.491010000000000218e+03,1.151734999999999953e+00,1.031800999999999968e+00,1.091768000000000072e+00
2.491260000000000218e+03,8.744593999999999978e-01,1.126444000000000001e+00,1.000451699999999944e+00
2.491509999999999764e+03,1.156760999999999928e+00,1.010353000000000057e+00,1.083556999999999881e+00
2.491760000000000218e+03,1.037522000000000055e+00,1.153772999999999938e+00,1.095647500000000107e+00
2.492010000000000218e+03,1.186684000000000072e+00,1.124216000000000104e+00,1.155450000000000088e+00
2.492259999999999764e+03,1.312488000000000099e+00,1.154342999999999897e+00,1.233415499999999998e+00
2.492509999999999764e+03,1.110921999999999965e+00,1.254011999999999905e+00,1.182466999999999935e+00
2.492760000000000218e+03,1.151008000000000031e+00,1.106238000000000055e+00,1.128623000000000154e+00
2.493019999999999982e+03,1.120648000000000089e+00,1.158411999999999997e+00,1.139530000000000154e+00
2.493269999999999982e+03,1.391148999999999969e+00,1.118773000000000017e+00,1.254960999999999993e+00
2.493519999999999982e+03,1.361993000000000009e+00,1.056189000000000044e+00,1.209090999999999916e+00
2.493769999999999982e+03,1.449608000000000008e+00,1.088737000000000066e+00,1.269172500000000037e+00
2.494019999999999982e+03,1.149310000000000054e+00,1.179596000000000089e+00,1.164452999999999960e+00
2.494270000000000437e+03,1.071620999999999935e+00,1.175505999999999940e+00,1.123563499999999937e+00
2.494519999999999982e+03,1.134789000000000048e+00,1.161087999999999898e+00,1.147938499999999973e+00
2.494769999999999982e+03,1.070208999999999966e+00,1.033622000000000041e+00,1.051915500000000003e+00
2.495019999999999982e+03,1.168649000000000049e+00,1.020151000000000030e+00,1.094400000000000039e+00
2.495269999999999982e+03,1.104319000000000051e+00,1.173491000000000062e+00,1.138905000000000056e+00
2.495530000000000200e+03,1.196031000000000066e+00,1.319414000000000087e+00,1.257722500000000077e+00
2.495779999999999745e+03,1.259563999999999906e+00,1.173256999999999994e+00,1.216410499999999839e+00
2.496030000000000200e+03,1.064673999999999898e+00,1.135326000000000057e+00,1.100000000000000089e+00
2.496280000000000200e+03,1.432973000000000052e+00,1.317654000000000103e+00,1.375313500000000078e+00
2.496529999999999745e+03,1.261136999999999952e+00,1.114143000000000105e+00,1.187640000000000029e+00
2.496789999999999964e+03,1.210557000000000105e+00,1.370784999999999920e+00,1.290671000000000124e+00
2.497039999999999964e+03,1.287311000000000094e+00,1.295422000000000073e+00,1.291366500000000084e+00
2.497289999999999964e+03,1.306902000000000008e+00,1.168077999999999950e+00,1.237489999999999979e+00
2.497539999999999964e+03,1.184099999999999930e+00,1.327126000000000028e+00,1.255612999999999868e+00
2.497789999999999964e+03,1.491295000000000037e+00,1.291209999999999969e+00,1.391252500000000003e+00
2.498050000000000182e+03,1.143968000000000096e+00,1.312159999999999993e+00,1.228064000000000044e+00
2.498300000000000182e+03,1.359177000000000080e+00,1.293835000000000068e+00,1.326506000000000185e+00
2.498549999999999727e+03,1.269347999999999921e+00,1.237173000000000078e+00,1.253260500000000111e+00
2.498800000000000182e+03,1.193022999999999945e+00,1.177856000000000014e+00,1.185439499999999979e+00
2.499059999999999945e+03,1.232086999999999932e+00,1.397229000000000054e+00,1.314658000000000104e+00
2.499309999999999945e+03,1.441772000000000054e+00,1.172657000000000060e+00,1.307214500000000168e+00
2.499559999999999945e+03,1.236998999999999960e+00,1.193535000000000013e+00,1.215266999999999875e+00
2.499820000000000164e+03,1.333350000000000035e+00,1.323849999999999971e+00,1.328600000000000003e+00
2.500070000000000164e+03,1.344257000000000035e+00,1.284057999999999922e+00,1.314157499999999867e+00
2.500319999999999709e+03,1.209996000000000071e+00,1.459141000000000021e+00,1.334568500000000046e+00
2.500579999999999927e+03,1.259576999999999947e+00,1.279957000000000011e+00,1.269766999999999868e+00
2.500829999999999927e+03,1.353256000000000014e+00,1.244428000000000090e+00,1.298842000000000052e+00
2.501079999999999927e+03,1.252135999999999916e+00,1.164954999999999963e+00,1.208545500000000050e+00
2.501339999999999691e+03,1.050961000000000034e+00,1.362746999999999931e+00,1.206853999999999871e+00
2.501590000000000146e+03,1.198410999999999893e+00,1.247694000000000081e+00,1.223052500000000098e+00
2.501849999999999909e+03,1.197618999999999989e+00,1.180908000000000069e+00,1.189263500000000029e+00
2.502099999999999909e+03,1.186566999999999927e+00,1.266761000000000026e+00,1.226663999999999977e+00
2.502349999999999909e+03,1.049550999999999901e+00,1.136425000000000018e+00,1.092988000000000071e+00
2.502609999999999673e+03,1.008890000000000065e+00,1.122486000000000095e+00,1.065688000000000191e+00
2.502860000000000127e+03,1.177291000000000087e+00,9.398353999999999875e-01,1.058563200000000037e+00
2.503119999999999891e+03,1.018059999999999965e+00,1.127339000000000091e+00,1.072699500000000139e+00
2.503369999999999891e+03,1.062157000000000018e+00,9.996677000000000479e-01,1.030912349999999922e+00
2.503620000000000346e+03,9.541568999999999745e-01,1.045557000000000070e+00,9.998569500000000776e-01
2.503880000000000109e+03,9.227602999999999778e-01,9.564127999999999519e-01,9.395865500000000203e-01
2.504130000000000109e+03,9.523703999999999503e-01,9.254516999999999882e-01,9.389110499999999693e-01
2.504389999999999873e+03,1.157462999999999909e+00,9.840457000000000232e-01,1.070754350000000077e+00
2.504640000000000327e+03,8.994366000000000305e-01,1.073455000000000048e+00,9.864458000000000393e-01
2.504900000000000091e+03,9.974750999999999479e-01,1.016132000000000035e+00,1.006803549999999881e+00
2.505150000000000091e+03,9.475753999999999566e-01,9.600328000000000195e-01,9.538040999999999325e-01
2.505409999999999854e+03,8.907382999999999829e-01,9.707333999999999685e-01,9.307358500000000312e-01
2.505660000000000309e+03,9.954030999999999851e-01,1.049087000000000103e+00,1.022245049999999988e+00
2.505920000000000073e+03,7.975716999999999945e-01,9.038909000000000526e-01,8.507313000000000791e-01
2.506180000000000291e+03,7.871542999999999735e-01,9.063145000000000229e-01,8.467343999999999982e-01
2.506429999999999836e+03,8.938686000000000131e-01,8.387862000000000373e-01,8.663274000000000807e-01
2.506690000000000055e+03,7.369915999999999690e-01,6.765953000000000106e-01,7.067934499999999343e-01
2.506940000000000055e+03,9.031938999999999940e-01,8.947216000000000058e-01,8.989577499999999999e-01
2.507200000000000273e+03,7.800837000000000465e-01,7.680439000000000016e-01,7.740637999999999685e-01
2.507449999999999818e+03,8.045653000000000388e-01,7.933763999999999816e-01,7.989708500000000102e-01
2.507710000000000036e+03,1.155602999999999936e+00,9.184149999999999814e-01,1.037008999999999848e+00
2.507969999999999800e+03,7.353541999999999579e-01,9.541030999999999818e-01,8.447286499999999698e-01
2.508220000000000255e+03,9.233118999999999632e-01,8.812708999999999682e-01,9.022913999999999657e-01
2.508480000000000018e+03,7.710791000000000173e-01,7.942920999999999454e-01,7.826855999999999813e-01
2.508739999999999782e+03,8.775112000000000467e-01,7.282075999999999549e-01,8.028594000000000008e-01
2.508989999999999782e+03,9.093615999999999921e-01,7.730751999999999624e-01,8.412184000000000328e-01
2.509250000000000000e+03,8.087075000000000236e-01,9.489069999999999450e-01,8.788072499999999287e-01
2.509510000000000218e+03,7.973696000000000117e-01,8.375428999999999791e-01,8.174562499999999954e-01
2.509760000000000218e+03,8.819533999999999985e-01,6.993669000000000135e-01,7.906601500000000060e-01
