energy,s050,s051,s052,s053,s054,mean
2.471070000000000164e+03,3.153355999999999937e-01,3.866815000000000113e-01,3.492013999999999951e-01,3.672574000000000116e-01,3.259001000000000259e-01,3.488751999999999964e-01
2.471320000000000164e+03,4.467225000000000223e-01,4.426244999999999763e-01,3.275306000000000051e-01,2.915041999999999911e-01,3.516120999999999830e-01,3.719987800000000289e-01
2.471560000000000400e+03,3.880992999999999804e-01,3.680959999999999788e-01,3.168032000000000070e-01,4.674819000000000058e-01,3.847682000000000047e-01,3.850497199999999287e-01
2.471800000000000182e+03,3.932384999999999908e-01,4.033116999999999952e-01,3.407237000000000182e-01,4.409186999999999967e-01,4.263321999999999945e-01,4.009049599999999769e-01
2.472039999999999964e+03,4.893584999999999741e-01,4.337840000000000029e-01,3.611931999999999920e-01,3.039589999999999792e-01,4.116172000000000164e-01,3.999823800000000262e-01
2.472289999999999964e+03,4.316433000000000075e-01,3.709521000000000068e-01,4.255818000000000101e-01,3.623881999999999937e-01,4.159185000000000243e-01,4.012967800000000196e-01
2.472529999999999745e+03,3.961955999999999811e-01,4.150350999999999901e-01,3.329330999999999818e-01,3.200574999999999948e-01,4.275863999999999776e-01,3.783615399999999407e-01
2.472769999999999982e+03,4.401132999999999851e-01,3.668617000000000128e-01,3.243228000000000222e-01,3.043872000000000244e-01,3.657096000000000235e-01,3.602789200000000025e-01
2.473019999999999982e+03,4.171395999999999993e-01,3.267608000000000179e-01,3.359017999999999726e-01,3.173301000000000038e-01,3.599873000000000101e-01,3.514239200000000007e-01
2.473259999999999764e+03,3.610316000000000081e-01,3.942757000000000067e-01,3.714308000000000054e-01,2.632874000000000048e-01,3.438344999999999874e-01,3.467720000000000247e-01
2.473500000000000000e+03,4.131198999999999844e-01,3.932442999999999911e-01,3.188866000000000200e-01,4.224592999999999821e-01,3.841626000000000207e-01,3.863745399999999330e-01
2.473750000000000000e+03,3.767036000000000273e-01,3.154492999999999880e-01,3.829975999999999936e-01,3.083726999999999996e-01,2.907230000000000092e-01,3.348492399999999924e-01
2.473990000000000236e+03,3.168039999999999745e-01,3.715706999999999760e-01,3.127535000000000176e-01,3.649936999999999765e-01,3.212110000000000243e-01,3.374665799999999605e-01
2.474230000000000018e+03,3.243098999999999843e-01,3.352677000000000018e-01,2.971609000000000056e-01,3.466207000000000038e-01,3.466071000000000013e-01,3.299932600000000105e-01
2.474479999999999563e+03,3.734552999999999900e-01,3.429186000000000178e-01,2.897256999999999749e-01,3.322885999999999895e-01,3.544086000000000181e-01,3.385593599999999759e-01
2.474720000000000255e+03,3.180136000000000074e-01,3.049625000000000252e-01,2.868700000000000139e-01,2.911288000000000209e-01,3.600934000000000079e-01,3.122136600000000040e-01
2.474960000000000036e+03,2.915380000000000194e-01,2.297817000000000054e-01,3.009787999999999908e-01,3.355467999999999784e-01,2.373386000000000107e-01,2.790367799999999843e-01
2.475210000000000036e+03,3.269195999999999769e-01,2.844068000000000151e-01,1.762028999999999956e-01,2.931660999999999850e-01,2.797348000000000057e-01,2.720860400000000290e-01
2.475449999999999818e+03,2.979362999999999873e-01,2.583696999999999799e-01,3.081903999999999755e-01,3.343794999999999962e-01,2.527837000000000001e-01,2.903319199999999656e-01
2.475699999999999818e+03,3.129688999999999943e-01,2.668684000000000056e-01,2.858610999999999791e-01,2.985989000000000004e-01,3.021692000000000267e-01,2.932932999999999790e-01
2.475940000000000055e+03,2.958038000000000056e-01,3.199673000000000100e-01,3.079275000000000206e-01,2.908477999999999897e-01,3.223671000000000175e-01,3.073827000000000642e-01
2.476190000000000055e+03,3.412754000000000065e-01,2.954817000000000138e-01,3.272087000000000190e-01,2.834058999999999884e-01,3.233309999999999795e-01,3.141405400000000236e-01
2.476430000000000291e+03,3.649904999999999955e-01,2.891152000000000166e-01,2.939449000000000090e-01,3.487933999999999757e-01,3.326571999999999862e-01,3.259002400000000077e-01
2.476670000000000073e+03,3.500770999999999744e-01,4.038050000000000250e-01,3.254038000000000208e-01,4.197365000000000124e-01,3.999205000000000121e-01,3.797885799999999312e-01
2.476919999999999618e+03,3.904516000000000098e-01,3.795880999999999839e-01,3.323966999999999894e-01,3.486952999999999858e-01,3.965582999999999747e-01,3.695379999999999776e-01
2.477159999999999854e+03,4.486734000000000000e-01,3.999287999999999732e-01,4.485687999999999898e-01,4.085353999999999930e-01,4.306422999999999779e-01,4.272697400000000090e-01
2.477409999999999854e+03,4.003420999999999785e-01,5.217494000000000298e-01,4.582519999999999927e-01,4.786066999999999960e-01,4.834417999999999771e-01,4.684783999999999615e-01
2.477650000000000091e+03,5.013395000000000490e-01,4.677818000000000254e-01,5.109919000000000544e-01,5.053663000000000460e-01,5.125606999999999802e-01,4.996080400000000310e-01
2.477900000000000091e+03,5.680583000000000160e-01,5.506195000000000395e-01,6.160385999999999918e-01,5.736193000000000541e-01,5.784820000000000517e-01,5.773635400000000084e-01
2.478139999999999873e+03,5.967459999999999987e-01,5.166798999999999698e-01,4.693814000000000042e-01,5.088753999999999778e-01,5.361224999999999463e-01,5.255610399999999238e-01
2.478389999999999873e+03,5.310732000000000230e-01,6.096141000000000476e-01,5.531175999999999870e-01,5.203902000000000250e-01,4.346020999999999912e-01,5.297594400000000814e-01
2.478630000000000109e+03,5.573506999999999767e-01,5.370445999999999831e-01,5.663540999999999714e-01,6.334630999999999457e-01,4.619424999999999781e-01,5.512309999999999155e-01
2.478880000000000109e+03,5.220561000000000229e-01,6.023340999999999834e-01,5.192387000000000530e-01,5.695892000000000177e-01,5.299876999999999505e-01,5.486411600000000721e-01
2.479119999999999891e+03,5.145593000000000528e-01,5.395275000000000487e-01,5.965781000000000001e-01,5.626645999999999592e-01,5.714734999999999676e-01,5.569606000000000279e-01
2.479369999999999891e+03,5.785827999999999527e-01,5.980585999999999958e-01,5.479197000000000095e-01,5.319013000000000213e-01,5.544869999999999521e-01,5.621898799999999197e-01
2.479620000000000346e+03,6.817516999999999605e-01,7.070178000000000296e-01,6.708423000000000025e-01,5.365005000000000468e-01,6.894268000000000063e-01,6.571078200000000091e-01
2.479860000000000127e+03,7.797566999999999693e-01,7.907501999999999587e-01,8.679890000000000105e-01,6.333704000000000001e-01,6.799321999999999866e-01,7.503596999999999628e-01
2.480109999999999673e+03,8.015246000000000315e-01,8.782147999999999621e-01,8.374342999999999648e-01,8.607816999999999830e-01,8.901953000000000227e-01,8.536301399999999262e-01
2.480349999999999909e+03,1.143529999999999935e+00,9.868291999999999620e-01,8.952434999999999699e-01,1.039360999999999979e+00,1.115145999999999971e+00,1.036021939999999919e+00
2.480599999999999909e+03,1.393413999999999930e+00,1.352471999999999897e+00,1.409278000000000031e+00,1.286375000000000046e+00,1.366384999999999961e+00,1.361584799999999706e+00
2.480850000000000364e+03,1.605809999999999960e+00,1.746181999999999901e+00,1.730286999999999908e+00,1.813992999999999967e+00,1.776048999999999989e+00,1.734464200000000123e+00
2.481090000000000146e+03,2.117666999999999966e+00,2.351763000000000048e+00,2.223160000000000025e+00,2.205518999999999785e+00,2.281903999999999932e+00,2.236002599999999951e+00
2.481339999999999691e+03,3.320609999999999840e+00,2.943551999999999946e+00,3.082126000000000143e+00,3.078088999999999853e+00,3.245909000000000155e+00,3.134057199999999987e+00
2.481579999999999927e+03,4.096878000000000242e+00,4.115808999999999607e+00,4.162975000000000314e+00,4.170162999999999620e+00,4.165928000000000075e+00,4.142350599999999439e+00
2.481829999999999927e+03,4.743618999999999808e+00,4.809959000000000096e+00,4.644087999999999994e+00,4.966459000000000401e+00,4.842062999999999562e+00,4.801237599999999439e+00
2.482079999999999927e+03,5.158979000000000426e+00,4.707442000000000348e+00,5.107732999999999635e+00,4.950514000000000081e+00,5.091244999999999798e+00,5.003182600000000591e+00
2.482320000000000164e+03,4.724206999999999823e+00,4.894505999999999801e+00,4.680990000000000428e+00,4.802801999999999794e+00,4.654701000000000199e+00,4.751441200000000364e+00
2.482570000000000164e+03,4.324055999999999678e+00,4.596633999999999887e+00,4.476860000000000284e+00,4.033633000000000024e+00,4.427588000000000079e+00,4.371754199999999813e+00
2.482819999999999709e+03,3.879026999999999781e+00,3.328873999999999889e+00,3.458298999999999790e+00,3.668709000000000220e+00,3.855382999999999782e+00,3.638058399999999803e+00
2.483059999999999945e+03,2.895449999999999857e+00,2.944380000000000219e+00,2.866931999999999814e+00,3.166971999999999898e+00,2.912704999999999878e+00,2.957287799999999578e+00
2.483309999999999945e+03,2.082219999999999960e+00,2.281619000000000064e+00,2.270954000000000139e+00,2.453240999999999783e+00,2.550418000000000074e+00,2.327690400000000270e+00
2.483560000000000400e+03,1.621650999999999954e+00,1.822303000000000006e+00,1.848943999999999921e+00,1.713519000000000014e+00,1.835458999999999952e+00,1.768375199999999925e+00
2.483809999999999945e+03,1.612848999999999977e+00,1.540087999999999901e+00,1.591771000000000047e+00,1.588716999999999935e+00,1.605888999999999900e+00,1.587862799999999908e+00
2.484049999999999727e+03,1.378565000000000040e+00,1.337866999999999917e+00,1.254472999999999949e+00,1.368530999999999942e+00,1.215724000000000027e+00,1.311031999999999975e+00
2.484300000000000182e+03,1.198404000000000025e+00,1.076591999999999993e+00,1.233999000000000068e+00,1.216345999999999927e+00,1.259902000000000077e+00,1.197048600000000018e+00
2.484550000000000182e+03,1.174220000000000041e+00,1.029620999999999897e+00,1.059941000000000022e+00,1.070426000000000100e+00,1.132012000000000018e+00,1.093243999999999883e+00
2.484799999999999727e+03,1.082645999999999997e+00,9.604181999999999997e-01,1.149524999999999908e+00,1.024788000000000032e+00,1.097393000000000063e+00,1.062954039999999933e+00
2.485039999999999964e+03,1.014566000000000079e+00,1.174288999999999916e+00,1.057795999999999959e+00,1.210801000000000016e+00,1.041247000000000034e+00,1.099739800000000045e+00
2.485289999999999964e+03,1.068996999999999975e+00,9.956428000000000500e-01,8.696268999999999805e-01,8.770065999999999695e-01,1.099603000000000108e+00,9.821752599999999944e-01
2.485539999999999964e+03,1.002207999999999988e+00,8.944242000000000026e-01,9.169372999999999552e-01,1.024207000000000090e+00,9.817183999999999910e-01,9.638989799999999608e-01
2.485789999999999964e+03,9.197509000000000379e-01,8.090939000000000325e-01,8.893470999999999460e-01,9.696692000000000089e-01,9.119770000000000376e-01,8.999676200000001902e-01
2.486029999999999745e+03,9.341878000000000126e-01,8.537516000000000549e-01,7.827631999999999923e-01,8.499961000000000322e-01,8.545306999999999764e-01,8.550458799999999249e-01
2.486279999999999745e+03,8.738816000000000361e-01,8.605876000000000081e-01,7.918838000000000266e-01,8.778274999999999828e-01,7.571704000000000212e-01,8.322701799999998595e-01
2.486530000000000200e+03,8.333998000000000239e-01,8.401990999999999765e-01,8.314559999999999729e-01,8.165255000000000152e-01,7.747992000000000212e-01,8.192759200000001574e-01
2.486780000000000200e+03,8.691168000000000227e-01,8.169747000000000536e-01,7.185023999999999855e-01,7.398523000000000183e-01,8.095949000000000062e-01,7.908082199999999506e-01
2.487029999999999745e+03,8.615831999999999935e-01,7.731154999999999555e-01,7.068421999999999761e-01,7.172146000000000354e-01,7.857148000000000465e-01,7.688940600000000458e-01
2.487280000000000200e+03,8.324167999999999568e-01,7.963846999999999454e-01,7.307356999999999880e-01,8.754410999999999721e-01,7.832637999999999545e-01,8.036484200000000300e-01
2.487519999999999982e+03,8.059216999999999631e-01,7.923398000000000385e-01,8.434371000000000507e-01,8.391667999999999905e-01,7.404112000000000471e-01,8.042553199999999958e-01
