energy,s032,s033,mean
2.487769999999999982e+03,7.749844000000000177e-01,8.891575999999999924e-01,8.320710000000000051e-01
2.488019999999999982e+03,8.515257000000000520e-01,8.305966000000000182e-01,8.410611500000000351e-01
2.488269999999999982e+03,8.479784999999999684e-01,8.851875999999999634e-01,8.665830500000000214e-01
2.488519999999999982e+03,9.222367000000000203e-01,9.630935000000000468e-01,9.426651000000000336e-01
2.488769999999999982e+03,7.950536999999999743e-01,7.920049000000000117e-01,7.935292999999999930e-01
2.489019999999999982e+03,9.546708000000000416e-01,8.866815999999999587e-01,9.206761999999999446e-01
2.489269999999999982e+03,9.198781999999999792e-01,9.647208000000000450e-01,9.422995000000000676e-01
2.489519999999999982e+03,9.176706000000000030e-01,8.151235000000000008e-01,8.663970500000000019e-01
2.489769999999999982e+03,9.471110000000000362e-01,9.677930000000000144e-01,9.574519999999999698e-01
2.490009999999999764e+03,8.621986999999999846e-01,1.013560000000000016e+00,9.378793500000000005e-01
2.490260000000000218e+03,9.311361000000000221e-01,8.973149999999999737e-01,9.142255500000000534e-01
2.490510000000000218e+03,9.990358000000000294e-01,9.701638000000000206e-01,9.845998000000000250e-01
2.490759999999999764e+03,8.972995000000000276e-01,1.001398000000000010e+00,9.493487499999999635e-01
2.491010000000000218e+03,1.058508000000000004e+00,1.020343000000000000e+00,1.039425500000000113e+00
2.491260000000000218e+03,1.102665000000000006e+00,1.025625000000000009e+00,1.064144999999999897e+00
2.491509999999999764e+03,1.110268999999999950e+00,1.109086000000000016e+00,1.109677500000000094e+00
2.491760000000000218e+03,1.037036000000000069e+00,1.207059000000000104e+00,1.122047500000000086e+00
2.492010000000000218e+03,1.162312999999999930e+00,1.054032000000000080e+00,1.108172500000000005e+00
2.492259999999999764e+03,1.076475999999999988e+00,1.071433999999999997e+00,1.073954999999999993e+00
2.492509999999999764e+03,1.151011000000000006e+00,1.133831000000000033e+00,1.142421000000000131e+00
2.492760000000000218e+03,1.237848000000000059e+00,1.153415000000000079e+00,1.195631500000000180e+00
2.493019999999999982e+03,1.188986000000000098e+00,1.157224000000000030e+00,1.173105000000000064e+00
2.493269999999999982e+03,1.145130999999999899e+00,1.220644999999999980e+00,1.182887999999999940e+00
2.493519999999999982e+03,1.119677999999999951e+00,1.181562999999999919e+00,1.150620500000000046e+00
2.493769999999999982e+03,1.113275000000000015e+00,1.203621999999999970e+00,1.158448499999999992e+00
2.494019999999999982e+03,1.176388999999999907e+00,1.107801999999999953e+00,1.142095499999999930e+00
2.494270000000000437e+03,1.269503000000000048e+00,1.269757999999999942e+00,1.269630499999999884e+00
