energy,s031,s032,s033,s034,mean
2.475699999999999818e+03,4.119620999999999977e-01,4.205427999999999944e-01,4.129522999999999944e-01,4.091972999999999860e-01,4.136636249999999793e-01
2.475940000000000055e+03,4.668314000000000075e-01,4.862997000000000014e-01,4.268765999999999949e-01,4.863763999999999865e-01,4.665960249999999698e-01
2.476190000000000055e+03,3.938946999999999865e-01,4.615922000000000081e-01,4.609533000000000103e-01,5.404069999999999707e-01,4.642118000000000633e-01
2.476430000000000291e+03,4.981695999999999902e-01,4.756604999999999861e-01,4.830199000000000020e-01,4.939561000000000091e-01,4.877015249999999691e-01
2.476670000000000073e+03,5.554723000000000299e-01,5.544445999999999541e-01,5.161896999999999736e-01,5.155817999999999790e-01,5.354221000000000119e-01
2.476919999999999618e+03,5.787636000000000447e-01,6.349804000000000004e-01,5.423980999999999941e-01,6.108054000000000539e-01,5.917368750000000510e-01
2.477159999999999854e+03,6.208396999999999943e-01,5.937529999999999752e-01,5.623531000000000502e-01,5.892095000000000526e-01,5.915388249999999903e-01
2.477409999999999854e+03,6.608633000000000424e-01,5.470812999999999926e-01,6.390320999999999918e-01,7.076776999999999651e-01,6.386635999999999980e-01
2.477650000000000091e+03,7.123350999999999988e-01,7.176232000000000166e-01,6.375380999999999965e-01,6.851498000000000310e-01,6.881615500000000107e-01
2.477900000000000091e+03,8.360665000000000457e-01,7.582058999999999882e-01,7.555547000000000235e-01,7.888332000000000122e-01,7.846650749999999341e-01
2.478139999999999873e+03,8.164911999999999725e-01,8.316343999999999959e-01,7.738838000000000106e-01,8.226295999999999609e-01,8.111597499999999572e-01
2.478389999999999873e+03,8.009498000000000451e-01,7.693807999999999758e-01,7.858595000000000441e-01,7.235867000000000271e-01,7.699442000000000785e-01
2.478630000000000109e+03,7.271476999999999524e-01,7.085983999999999616e-01,7.418221000000000398e-01,7.472807999999999673e-01,7.312122499999998970e-01
2.478880000000000109e+03,7.457618999999999776e-01,7.069990999999999914e-01,7.386989999999999945e-01,6.292529999999999513e-01,7.051782500000000065e-01
2.479119999999999891e+03,7.905990999999999991e-01,8.083679000000000281e-01,7.545017000000000529e-01,6.662244999999999973e-01,7.549232999999999638e-01
2.479369999999999891e+03,7.814980000000000260e-01,7.849120000000000541e-01,7.157559000000000005e-01,7.355810000000000404e-01,7.544367249999999192e-01
2.479620000000000346e+03,7.826625999999999861e-01,7.814345000000000319e-01,7.717041999999999513e-01,8.165006999999999682e-01,7.880754999999999288e-01
2.479860000000000127e+03,9.348220999999999892e-01,8.640303000000000289e-01,8.013489999999999780e-01,7.761251999999999596e-01,8.440816500000000167e-01
2.480109999999999673e+03,9.410001000000000060e-01,8.887363000000000346e-01,8.834505999999999748e-01,8.881234000000000073e-01,9.003276000000000057e-01
2.480349999999999909e+03,1.033331000000000000e+00,9.603087000000000151e-01,1.082216999999999985e+00,1.140085000000000015e+00,1.053985425000000031e+00
2.480599999999999909e+03,1.249708000000000041e+00,1.229597000000000051e+00,1.312653999999999987e+00,1.159715000000000051e+00,1.237918500000000144e+00
2.480850000000000364e+03,1.551751000000000102e+00,1.688306000000000084e+00,1.588152999999999926e+00,1.572262999999999966e+00,1.600118249999999964e+00
2.481090000000000146e+03,2.041287000000000074e+00,1.956739000000000006e+00,1.948614000000000068e+00,1.817347999999999963e+00,1.940997000000000083e+00
2.481339999999999691e+03,2.803049000000000124e+00,2.336002999999999830e+00,2.828969999999999985e+00,2.530888000000000027e+00,2.624727499999999658e+00
2.481579999999999927e+03,3.626297000000000104e+00,3.576235000000000053e+00,3.577312000000000047e+00,3.487550999999999846e+00,3.566848750000000123e+00
2.481829999999999927e+03,4.377614999999999590e+00,4.265775999999999790e+00,4.205706000000000166e+00,4.050044999999999895e+00,4.224785500000000305e+00
2.482079999999999927e+03,4.583841999999999750e+00,4.355137000000000036e+00,4.523989000000000260e+00,4.040390000000000370e+00,4.375839499999999660e+00
2.482320000000000164e+03,4.235019999999999563e+00,4.301906999999999925e+00,4.158350999999999686e+00,3.958257000000000136e+00,4.163383749999999495e+00
2.482570000000000164e+03,3.717910999999999966e+00,3.874079000000000050e+00,3.928656999999999844e+00,3.774156000000000066e+00,3.823700749999999982e+00
2.482819999999999709e+03,2.971868000000000176e+00,2.890535999999999994e+00,3.103693999999999953e+00,2.760463000000000111e+00,2.931640249999999615e+00
2.483059999999999945e+03,2.670310000000000183e+00,2.681130000000000013e+00,2.727037999999999851e+00,2.605974999999999930e+00,2.671113250000000328e+00
2.483309999999999945e+03,2.061910999999999827e+00,2.013180999999999887e+00,2.215764000000000067e+00,2.016791000000000000e+00,2.076911749999999834e+00
2.483560000000000400e+03,1.738070999999999922e+00,1.772810999999999915e+00,1.782294000000000045e+00,1.527765999999999957e+00,1.705235499999999904e+00
2.483809999999999945e+03,1.391887000000000096e+00,1.416085000000000038e+00,1.463554999999999939e+00,1.365188000000000068e+00,1.409178750000000147e+00
2.484049999999999727e+03,1.375928999999999958e+00,1.442094999999999905e+00,1.280704000000000065e+00,1.301419000000000104e+00,1.350036749999999897e+00
2.484300000000000182e+03,1.177445999999999993e+00,1.104884999999999895e+00,1.092572000000000099e+00,1.063722000000000056e+00,1.109656250000000011e+00
2.484550000000000182e+03,1.033886000000000083e+00,1.219141999999999948e+00,1.187168999999999919e+00,9.111580000000000235e-01,1.087838749999999965e+00
2.484799999999999727e+03,1.063533999999999979e+00,1.039153999999999911e+00,9.408242999999999467e-01,1.034680999999999962e+00,1.019548324999999922e+00
2.485039999999999964e+03,1.043457999999999997e+00,1.053163000000000071e+00,8.246388000000000051e-01,7.890011000000000108e-01,9.275652249999999377e-01
2.485289999999999964e+03,1.061892000000000058e+00,9.883406000000000136e-01,9.166636000000000228e-01,1.020431000000000088e+00,9.968318000000000456e-01
2.485539999999999964e+03,8.580866999999999800e-01,9.454896000000000411e-01,8.689972999999999725e-01,9.329714999999999536e-01,9.013862749999999036e-01
2.485789999999999964e+03,8.853902999999999635e-01,9.078207000000000360e-01,7.736720000000000264e-01,9.710649000000000086e-01,8.844869749999999531e-01
2.486029999999999745e+03,9.539499999999999647e-01,9.435727999999999893e-01,9.444515999999999467e-01,7.755069999999999464e-01,9.043703499999999895e-01
2.486279999999999745e+03,9.609379000000000115e-01,8.656667000000000112e-01,8.531617999999999702e-01,8.894132999999999623e-01,8.922949250000000720e-01
2.486530000000000200e+03,9.440543999999999603e-01,8.586057000000000272e-01,8.890512999999999888e-01,8.953436000000000172e-01,8.967637499999999706e-01
2.486780000000000200e+03,9.424964000000000119e-01,8.560752999999999835e-01,8.262606999999999591e-01,8.162412000000000001e-01,8.602683999999999331e-01
2.487029999999999745e+03,8.088092000000000059e-01,9.237838000000000438e-01,8.175280000000000324e-01,8.733393999999999879e-01,8.558650999999999343e-01
