energy,s026,s027,s028,s029,s030,s031,mean
2.471800000000000182e+03,6.861749000000000320e-01,6.607621999999999662e-01,6.564756000000000480e-01,7.049855000000000427e-01,7.097253000000000034e-01,6.578815000000000079e-01,6.793341666666666834e-01
2.472039999999999964e+03,7.324948999999999488e-01,7.881418000000000035e-01,7.747302999999999829e-01,7.155318999999999985e-01,7.015390999999999710e-01,6.887664000000000009e-01,7.335340666666665399e-01
2.472289999999999964e+03,6.976004999999999567e-01,6.447688000000000308e-01,8.170422999999999991e-01,7.188276000000000110e-01,6.877807000000000226e-01,7.170499999999999652e-01,7.138449833333334604e-01
2.472529999999999745e+03,7.789040000000000408e-01,6.748996000000000439e-01,6.619108000000000214e-01,7.510012000000000354e-01,7.405815999999999510e-01,5.955987000000000364e-01,7.004826499999999845e-01
2.472769999999999982e+03,7.301486000000000365e-01,6.179052000000000433e-01,7.242707999999999924e-01,6.503533000000000230e-01,6.809764999999999846e-01,6.387450000000000072e-01,6.737332333333333478e-01
2.473019999999999982e+03,6.550593000000000110e-01,6.992066999999999588e-01,7.116801999999999850e-01,6.592012999999999900e-01,7.067546999999999580e-01,6.488827999999999818e-01,6.801308333333332401e-01
2.473259999999999764e+03,6.723681999999999714e-01,7.775682000000000427e-01,6.326207999999999831e-01,6.588865999999999890e-01,6.850789999999999935e-01,6.298202000000000522e-01,6.760571666666667090e-01
2.473500000000000000e+03,7.212125000000000341e-01,6.355705999999999856e-01,6.951640999999999515e-01,6.248483999999999705e-01,6.393824000000000174e-01,6.714738000000000095e-01,6.646086333333333096e-01
2.473750000000000000e+03,6.497045999999999655e-01,6.431173000000000028e-01,6.522858999999999741e-01,6.328532000000000046e-01,6.540601000000000331e-01,6.750312000000000534e-01,6.511753833333333574e-01
2.473990000000000236e+03,6.811066999999999538e-01,6.987925000000000386e-01,6.511211999999999556e-01,6.097591999999999457e-01,5.845746000000000553e-01,5.880440000000000111e-01,6.355663666666666600e-01
2.474230000000000018e+03,5.380118000000000400e-01,5.752528000000000086e-01,5.801931999999999645e-01,4.742655000000000065e-01,5.947594999999999965e-01,4.896065000000000000e-01,5.420148833333332528e-01
2.474479999999999563e+03,5.886740000000000306e-01,5.544837999999999711e-01,5.610726999999999798e-01,5.719667999999999974e-01,6.223969999999999780e-01,5.298349999999999449e-01,5.714048833333332800e-01
