energy,s040,mean
2.496280000000000200e+03,1.174010999999999916e+00,1.174010999999999916e+00
2.496529999999999745e+03,1.310664999999999969e+00,1.310664999999999969e+00
2.496789999999999964e+03,1.296964000000000006e+00,1.296964000000000006e+00
2.497039999999999964e+03,1.090805999999999942e+00,1.090805999999999942e+00
2.497289999999999964e+03,1.108235999999999999e+00,1.108235999999999999e+00
2.497539999999999964e+03,1.075863999999999931e+00,1.075863999999999931e+00
2.497789999999999964e+03,1.076243000000000061e+00,1.076243000000000061e+00
2.498050000000000182e+03,1.239837000000000078e+00,1.239837000000000078e+00
2.498300000000000182e+03,1.009455999999999909e+00,1.009455999999999909e+00
2.498549999999999727e+03,1.176541999999999977e+00,1.176541999999999977e+00
2.498800000000000182e+03,1.356816000000000022e+00,1.356816000000000022e+00
2.499059999999999945e+03,1.136778999999999984e+00,1.136778999999999984e+00
2.499309999999999945e+03,1.337976000000000054e+00,1.337976000000000054e+00
2.499559999999999945e+03,1.217251000000000083e+00,1.217251000000000083e+00
2.499820000000000164e+03,1.099731999999999932e+00,1.099731999999999932e+00
2.500070000000000164e+03,1.158327000000000107e+00,1.158327000000000107e+00
2.500319999999999709e+03,1.074480000000000102e+00,1.074480000000000102e+00
2.500579999999999927e+03,1.186868999999999952e+00,1.186868999999999952e+00
2.500829999999999927e+03,1.250661000000000023e+00,1.250661000000000023e+00
2.501079999999999927e+03,1.175402999999999976e+00,1.175402999999999976e+00
2.501339999999999691e+03,1.163364000000000065e+00,1.163364000000000065e+00
2.501590000000000146e+03,1.142279999999999962e+00,1.142279999999999962e+00
2.501849999999999909e+03,1.170560999999999963e+00,1.170560999999999963e+00
2.502099999999999909e+03,1.253571999999999909e+00,1.253571999999999909e+00
2.502349999999999909e+03,1.033357999999999999e+00,1.033357999999999999e+00
2.502609999999999673e+03,1.192657000000000078e+00,1.192657000000000078e+00
2.502860000000000127e+03,9.929871000000000114e-01,9.929871000000000114e-01
2.503119999999999891e+03,1.096602000000000077e+00,1.096602000000000077e+00
2.503369999999999891e+03,9.615086000000000466e-01,9.615086000000000466e-01
2.503620000000000346e+03,9.545649999999999968e-01,9.545649999999999968e-01
2.503880000000000109e+03,9.006948000000000176e-01,9.006948000000000176e-01
2.504130000000000109e+03,7.878633999999999915e-01,7.878633999999999915e-01
2.504389999999999873e+03,1.016197000000000017e+00,1.016197000000000017e+00
2.504640000000000327e+03,1.133648999999999907e+00,1.133648999999999907e+00
2.504900000000000091e+03,1.029096999999999928e+00,1.029096999999999928e+00
2.505150000000000091e+03,9.375137999999999527e-01,9.375137999999999527e-01
2.505409999999999854e+03,9.748559999999999448e-01,9.748559999999999448e-01
2.505660000000000309e+03,8.966619000000000117e-01,8.966619000000000117e-01
2.505920000000000073e+03,8.157813999999999899e-01,8.157813999999999899e-01
2.506180000000000291e+03,9.804243999999999737e-01,9.804243999999999737e-01
2.506429999999999836e+03,9.175349999999999895e-01,9.175349999999999895e-01
2.506690000000000055e+03,9.815464999999999884e-01,9.815464999999999884e-01
2.506940000000000055e+03,9.226900000000000102e-01,9.226900000000000102e-01
2.507200000000000273e+03,8.752235000000000431e-01,8.752235000000000431e-01
2.507449999999999818e+03,9.028462000000000431e-01,9.028462000000000431e-01
2.507710000000000036e+03,9.077142999999999740e-01,9.077142999999999740e-01
2.507969999999999800e+03,1.017293999999999921e+00,1.017293999999999921e+00
2.508220000000000255e+03,8.604334000000000149e-01,8.604334000000000149e-01
2.508480000000000018e+03,8.131498999999999810e-01,8.131498999999999810e-01
2.508739999999999782e+03,9.974165000000000392e-01,9.974165000000000392e-01
2.508989999999999782e+03,8.419900999999999636e-01,8.419900999999999636e-01
2.509250000000000000e+03,1.070100999999999969e+00,1.070100999999999969e+00
2.509510000000000218e+03,8.891276000000000179e-01,8.891276000000000179e-01
2.509760000000000218e+03,8.012639000000000289e-01,8.012639000000000289e-01
2.510019999999999982e+03,8.588135000000000074e-01,8.588135000000000074e-01
2.510279999999999745e+03,9.406354999999999578e-01,9.406354999999999578e-01
2.510530000000000200e+03,9.403401999999999594e-01,9.403401999999999594e-01
2.510789999999999964e+03,9.950204000000000271e-01,9.950204000000000271e-01
2.511050000000000182e+03,8.136071999999999749e-01,8.136071999999999749e-01
2.511299999999999727e+03,7.518584999999999852e-01,7.518584999999999852e-01
2.511559999999999945e+03,8.669299000000000310e-01,8.669299000000000310e-01
2.511820000000000164e+03,7.864383999999999819e-01,7.864383999999999819e-01
2.512079999999999927e+03,8.522241999999999873e-01,8.522241999999999873e-01
2.512340000000000146e+03,7.260202000000000044e-01,7.260202000000000044e-01
2.512589999999999691e+03,7.886463999999999697e-01,7.886463999999999697e-01
2.512849999999999909e+03,9.668493000000000226e-01,9.668493000000000226e-01
2.513110000000000127e+03,8.576745000000000063e-01,8.576745000000000063e-01
2.513369999999999891e+03,7.480314999999999603e-01,7.480314999999999603e-01
2.513630000000000109e+03,7.948104000000000280e-01,7.948104000000000280e-01
2.513880000000000109e+03,8.257396000000000180e-01,8.257396000000000180e-01
2.514139999999999873e+03,6.563238999999999601e-01,6.563238999999999601e-01
2.514400000000000091e+03,8.543587999999999738e-01,8.543587999999999738e-01
2.514660000000000309e+03,1.023309999999999942e+00,1.023309999999999942e+00
2.514920000000000073e+03,9.026353000000000293e-01,9.026353000000000293e-01
2.515179999999999836e+03,9.939911000000000163e-01,9.939911000000000163e-01
2.515440000000000055e+03,8.296637000000000040e-01,8.296637000000000040e-01
2.515699999999999818e+03,8.984590000000000076e-01,8.984590000000000076e-01
