energy,s034,s035,s036,s037,s038,s039,mean
2.482079999999999927e+03,3.644487999999999950e+00,3.716105999999999909e+00,3.560958999999999985e+00,3.649995999999999796e+00,3.488386999999999905e+00,3.983435000000000059e+00,3.673895166666666601e+00
2.482320000000000164e+03,3.709353999999999818e+00,3.588540000000000063e+00,3.395004999999999828e+00,3.344651999999999958e+00,3.381168999999999869e+00,3.648756999999999806e+00,3.511246166666666557e+00
2.482570000000000164e+03,3.062829999999999941e+00,3.096770999999999940e+00,3.084014999999999951e+00,3.200957999999999970e+00,3.041440000000000143e+00,3.298970999999999876e+00,3.130830833333333008e+00
2.482819999999999709e+03,2.822051000000000087e+00,2.700007999999999964e+00,2.604872999999999994e+00,2.667225999999999875e+00,2.516067000000000053e+00,2.879106000000000165e+00,2.698221833333333208e+00
2.483059999999999945e+03,2.341530000000000111e+00,2.123715999999999937e+00,2.324991999999999948e+00,2.279218999999999884e+00,2.145809999999999995e+00,2.412977999999999845e+00,2.271374166666666472e+00
2.483309999999999945e+03,1.755919999999999925e+00,1.818548999999999971e+00,1.725708999999999937e+00,1.677613000000000021e+00,1.880746000000000029e+00,1.976483999999999908e+00,1.805836833333333225e+00
2.483560000000000400e+03,1.599323999999999968e+00,1.531878000000000073e+00,1.562529000000000057e+00,1.555895999999999946e+00,1.486255000000000104e+00,1.413677999999999990e+00,1.524926666666666542e+00
2.483809999999999945e+03,1.378236000000000017e+00,1.218075999999999937e+00,1.269028999999999963e+00,1.180263999999999980e+00,1.299314999999999998e+00,1.238410999999999929e+00,1.263888499999999970e+00
2.484049999999999727e+03,1.223516999999999966e+00,1.285906999999999911e+00,1.073166999999999982e+00,1.107474000000000069e+00,1.276921999999999890e+00,1.223130999999999968e+00,1.198353000000000002e+00
2.484300000000000182e+03,1.114390999999999909e+00,1.118346999999999980e+00,1.104924000000000017e+00,1.039511000000000074e+00,1.159880000000000022e+00,1.139259999999999939e+00,1.112718833333333324e+00
