energy,s012,s013,s014,s015,s016,s017,s018,mean
2.475699999999999818e+03,3.595031000000000199e-01,3.829053000000000040e-01,3.634301999999999810e-01,3.820730999999999988e-01,4.033082000000000056e-01,3.053767000000000009e-01,3.730673999999999935e-01,3.670948571428571117e-01
2.475940000000000055e+03,4.711928000000000227e-01,3.685033999999999810e-01,4.043081000000000036e-01,3.984608000000000039e-01,3.483220000000000205e-01,4.373963000000000156e-01,4.100501999999999758e-01,4.054619428571428763e-01
2.476190000000000055e+03,3.575403999999999805e-01,3.846279000000000226e-01,4.242753000000000219e-01,3.974448999999999899e-01,3.858442000000000260e-01,3.356892000000000209e-01,3.884537000000000129e-01,3.819822285714286059e-01
2.476430000000000291e+03,4.449564999999999770e-01,4.313294999999999768e-01,3.755674999999999986e-01,3.867968999999999991e-01,4.259576999999999947e-01,4.142708999999999975e-01,4.138165999999999789e-01,4.132422285714286159e-01
2.476670000000000073e+03,3.788273999999999808e-01,4.825156999999999918e-01,4.483556000000000208e-01,4.262713000000000196e-01,4.308055000000000079e-01,4.200157999999999947e-01,4.510554999999999981e-01,4.339781142857142560e-01
2.476919999999999618e+03,5.088167999999999580e-01,4.903396999999999895e-01,4.090425999999999784e-01,4.694181000000000048e-01,4.555072000000000010e-01,4.919731999999999994e-01,4.931261000000000116e-01,4.740319571428571188e-01
2.477159999999999854e+03,4.673978999999999773e-01,4.788135000000000030e-01,5.221900000000000430e-01,5.700330000000000119e-01,5.255997000000000030e-01,5.245598000000000205e-01,5.721273000000000053e-01,5.229601714285714298e-01
2.477409999999999854e+03,5.827455999999999747e-01,5.470770000000000355e-01,5.523721000000000325e-01,5.684533000000000502e-01,5.648355000000000459e-01,6.381166999999999812e-01,5.815107999999999944e-01,5.764444285714285243e-01
2.477650000000000091e+03,5.722561000000000453e-01,6.104290999999999467e-01,6.407184000000000212e-01,6.206884999999999764e-01,6.459449999999999914e-01,6.142069999999999474e-01,5.202113000000000431e-01,6.034936285714286308e-01
2.477900000000000091e+03,6.254083000000000281e-01,6.182469999999999910e-01,6.713299000000000349e-01,5.705514000000000419e-01,6.426952000000000220e-01,5.392177999999999694e-01,6.607115999999999545e-01,6.183087428571427679e-01
2.478139999999999873e+03,6.116085999999999467e-01,6.492588999999999722e-01,6.861673999999999829e-01,5.692266000000000270e-01,5.820847000000000104e-01,7.143118999999999996e-01,7.275983000000000311e-01,6.486080571428571862e-01
2.478389999999999873e+03,5.389840999999999660e-01,7.339927000000000534e-01,6.353157000000000387e-01,6.000018999999999769e-01,7.217251000000000083e-01,6.838206999999999480e-01,6.728825999999999974e-01,6.552461142857143317e-01
2.478630000000000109e+03,6.289814000000000238e-01,6.164815000000000156e-01,7.131123999999999796e-01,6.379274999999999807e-01,6.677144999999999886e-01,6.316718000000000055e-01,6.467863999999999836e-01,6.489536428571429649e-01
2.478880000000000109e+03,6.507325000000000470e-01,6.007850999999999608e-01,6.424944999999999684e-01,7.101315999999999740e-01,6.105091999999999741e-01,7.016362000000000432e-01,6.759777999999999620e-01,6.560381285714286248e-01
2.479119999999999891e+03,6.417372000000000076e-01,6.432668999999999748e-01,5.736814000000000080e-01,6.649762999999999646e-01,5.568554999999999477e-01,6.396994999999999765e-01,6.805474999999999719e-01,6.286806142857143120e-01
