energy,s003,s004,s005,s006,s007,s009,s010,s011,mean
2.471320000000000164e+03,3.035158000000000023e-01,3.167878000000000083e-01,4.072911000000000170e-01,3.040815000000000046e-01,3.202349999999999919e-01,3.121077999999999908e-01,3.306005000000000194e-01,3.089812000000000114e-01,3.254500874999999849e-01
2.471560000000000400e+03,2.660583999999999727e-01,3.207031000000000187e-01,3.788680999999999854e-01,3.585952000000000028e-01,3.086824000000000234e-01,2.784449999999999981e-01,3.248648000000000091e-01,3.482731000000000021e-01,3.230612625000000016e-01
2.471800000000000182e+03,3.528551999999999800e-01,3.904294999999999849e-01,4.326267999999999780e-01,3.670549000000000173e-01,3.358627000000000140e-01,3.217151999999999790e-01,3.592657000000000211e-01,3.252821000000000184e-01,3.606365125000000060e-01
2.472039999999999964e+03,3.051723000000000074e-01,3.694914000000000254e-01,3.874542000000000264e-01,3.385929999999999773e-01,3.526575000000000126e-01,3.343401999999999763e-01,4.564197999999999866e-01,3.768602999999999814e-01,3.651235875000000131e-01
2.472289999999999964e+03,3.393813999999999997e-01,3.452598000000000056e-01,4.060836999999999919e-01,3.394052000000000180e-01,3.377904999999999935e-01,3.309644999999999948e-01,3.279290999999999734e-01,3.812960000000000238e-01,3.510137749999999723e-01
2.472529999999999745e+03,3.645112999999999825e-01,2.593859000000000026e-01,4.341484999999999927e-01,3.673795999999999728e-01,3.282184000000000212e-01,3.157659999999999911e-01,3.497897999999999841e-01,3.490725000000000078e-01,3.460340000000000082e-01
2.472769999999999982e+03,3.125798000000000187e-01,3.522377999999999898e-01,3.542950999999999739e-01,2.797780999999999740e-01,2.859796000000000005e-01,3.208727000000000107e-01,3.257637999999999923e-01,3.194877999999999885e-01,3.188743374999999936e-01
2.473019999999999982e+03,2.898209999999999953e-01,3.171841000000000244e-01,4.040441000000000171e-01,2.421117000000000130e-01,2.932249000000000105e-01,2.715460000000000096e-01,3.387635999999999981e-01,3.611950999999999912e-01,3.147363125000000039e-01
2.473259999999999764e+03,2.665809000000000095e-01,3.111013000000000250e-01,3.900580000000000158e-01,2.228603999999999863e-01,2.978284999999999960e-01,2.156781999999999866e-01,3.405688000000000049e-01,2.799238000000000004e-01,2.905749875000000482e-01
2.473500000000000000e+03,2.841636000000000162e-01,3.330312999999999746e-01,3.639167999999999847e-01,2.353325000000000000e-01,3.132699999999999929e-01,2.693388999999999922e-01,3.079767999999999950e-01,3.331552999999999876e-01,3.050231499999999651e-01
2.473750000000000000e+03,3.527263999999999955e-01,2.766674000000000078e-01,4.494288000000000172e-01,2.834157999999999955e-01,3.150202999999999753e-01,2.848194000000000004e-01,3.626342000000000176e-01,3.095902999999999849e-01,3.292878249999999785e-01
2.473990000000000236e+03,2.825243000000000060e-01,2.611337000000000241e-01,3.282552000000000247e-01,2.365142000000000078e-01,2.970890999999999948e-01,2.933629999999999849e-01,3.323019999999999863e-01,3.534590000000000232e-01,2.980800625000000204e-01
2.474230000000000018e+03,2.674746000000000068e-01,3.140834000000000126e-01,2.548340000000000050e-01,2.595025000000000248e-01,3.085083000000000131e-01,2.514132000000000033e-01,2.463029999999999942e-01,3.170219000000000231e-01,2.773926124999999687e-01
2.474479999999999563e+03,2.484088999999999881e-01,2.928178000000000170e-01,2.630275999999999725e-01,2.896627999999999981e-01,2.464567000000000008e-01,2.482706000000000079e-01,3.444420000000000259e-01,2.573152000000000217e-01,2.738001999999999936e-01
2.474720000000000255e+03,2.170205000000000051e-01,2.467566999999999955e-01,2.893860999999999795e-01,2.085657999999999956e-01,1.855301000000000033e-01,1.574393000000000042e-01,3.056210999999999789e-01,2.907842999999999956e-01,2.376379874999999808e-01
2.474960000000000036e+03,2.409951999999999928e-01,2.442140999999999895e-01,3.054873000000000172e-01,2.264753999999999934e-01,2.699629000000000056e-01,2.021261000000000030e-01,2.799050000000000149e-01,2.400034000000000056e-01,2.511461750000000270e-01
2.475210000000000036e+03,1.893045999999999895e-01,2.476394000000000095e-01,2.323649999999999882e-01,1.474808999999999981e-01,2.075629999999999975e-01,2.075603000000000031e-01,2.699145000000000016e-01,2.177824999999999900e-01,2.149512749999999972e-01
2.475449999999999818e+03,2.232011000000000134e-01,2.375124000000000124e-01,3.025804000000000271e-01,2.159685000000000077e-01,2.289445999999999981e-01,2.152882000000000129e-01,2.345452000000000092e-01,2.027032000000000000e-01,2.325929499999999928e-01
2.475699999999999818e+03,2.180773000000000017e-01,2.197482000000000046e-01,2.918223999999999818e-01,2.609161999999999870e-01,2.216032000000000002e-01,2.071183000000000052e-01,2.338752000000000053e-01,2.294548999999999894e-01,2.353269624999999865e-01
2.475940000000000055e+03,1.727016000000000107e-01,2.380214999999999970e-01,2.913337999999999761e-01,2.212552999999999881e-01,2.428253999999999968e-01,2.614535000000000053e-01,2.274702000000000113e-01,2.398305000000000020e-01,2.368614750000000158e-01
2.476190000000000055e+03,2.115284000000000053e-01,2.775962000000000152e-01,3.795449000000000184e-01,2.292208000000000023e-01,2.453757000000000021e-01,2.752327999999999997e-01,2.256741999999999915e-01,2.196830999999999923e-01,2.579820125000000242e-01
2.476430000000000291e+03,2.190102999999999911e-01,3.401959999999999984e-01,2.107220999999999955e-01,2.843519999999999937e-01,3.078484000000000220e-01,2.516645000000000132e-01,2.979569000000000245e-01,3.488876000000000199e-01,2.825797250000000038e-01
2.476670000000000073e+03,3.197972000000000037e-01,3.158274999999999832e-01,3.678353999999999790e-01,2.721253000000000144e-01,3.074466000000000143e-01,3.091409999999999991e-01,3.338975000000000137e-01,3.025477999999999779e-01,3.160772874999999704e-01
2.476919999999999618e+03,3.379982000000000264e-01,2.785081999999999836e-01,3.684469000000000216e-01,2.694153000000000242e-01,3.271106999999999765e-01,3.000785000000000258e-01,3.599106000000000249e-01,3.062645999999999979e-01,3.184666250000000032e-01
2.477159999999999854e+03,3.263061999999999907e-01,3.297547000000000117e-01,3.979674000000000267e-01,3.573075000000000001e-01,3.257734999999999936e-01,3.451044999999999807e-01,3.972291000000000016e-01,3.428518999999999872e-01,3.527868499999999852e-01
2.477409999999999854e+03,2.170569999999999999e-01,3.941703999999999763e-01,4.849779000000000173e-01,3.559758000000000089e-01,3.802594999999999725e-01,3.408070000000000266e-01,4.220475000000000199e-01,3.674656000000000033e-01,3.703450875000000031e-01
2.477650000000000091e+03,4.208609999999999851e-01,3.928358000000000128e-01,5.107694999999999874e-01,4.840577999999999825e-01,4.217195000000000249e-01,3.771800000000000153e-01,4.813669999999999893e-01,4.217969999999999775e-01,4.388234500000000038e-01
2.477900000000000091e+03,4.510244999999999949e-01,4.836996000000000073e-01,5.630536000000000429e-01,4.736062999999999801e-01,4.282434999999999992e-01,4.162405000000000133e-01,4.560045999999999822e-01,4.482540999999999887e-01,4.650158374999999733e-01
2.478139999999999873e+03,4.330919999999999770e-01,5.072872000000000492e-01,5.291637000000000146e-01,5.090354000000000267e-01,4.422497000000000233e-01,4.404306000000000054e-01,4.979034999999999989e-01,4.439320999999999962e-01,4.753867750000000392e-01
2.478389999999999873e+03,4.062841999999999842e-01,5.212202999999999697e-01,6.126411999999999969e-01,4.432879000000000125e-01,4.180213999999999874e-01,3.511709000000000080e-01,4.964131999999999989e-01,4.476968000000000059e-01,4.620919875000000787e-01
2.478630000000000109e+03,4.527313000000000032e-01,4.711493999999999960e-01,5.262499000000000482e-01,4.455752000000000046e-01,4.554163999999999990e-01,4.661219999999999808e-01,5.407537999999999512e-01,4.446297000000000166e-01,4.753284624999999930e-01
2.478880000000000109e+03,4.713626000000000205e-01,4.744097999999999926e-01,5.437817999999999818e-01,3.348587000000000091e-01,4.617575999999999903e-01,3.935426000000000202e-01,5.293295000000000083e-01,4.918866000000000072e-01,4.626161500000000038e-01
2.479119999999999891e+03,4.517576999999999843e-01,4.706616000000000133e-01,5.115948000000000162e-01,5.057317999999999536e-01,4.655990999999999880e-01,3.987456999999999807e-01,5.764137999999999762e-01,4.508011000000000101e-01,4.789132000000000389e-01
2.479369999999999891e+03,4.925929000000000002e-01,5.305444999999999744e-01,6.097643000000000368e-01,5.115773999999999599e-01,5.072866999999999793e-01,5.041141000000000094e-01,5.455088999999999633e-01,5.470726000000000200e-01,5.310576749999998958e-01
