energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.471560000000000400e+03,5.165760999999999825e-01,5.645736999999999561e-01,4.976046000000000080e-01,5.672551999999999595e-01,5.585455000000000281e-01,5.030613999999999919e-01,6.091396999999999506e-01,5.938282000000000282e-01,5.789714999999999723e-01,5.543951000000000295e-01
2.471800000000000182e+03,5.068451000000000484e-01,5.424649000000000276e-01,4.427658999999999900e-01,4.489309000000000216e-01,5.822753000000000512e-01,5.281911999999999718e-01,6.042345999999999551e-01,4.731576000000000115e-01,6.506203999999999876e-01,5.310539888888889948e-01
2.472039999999999964e+03,3.719334000000000251e-01,5.165956999999999910e-01,4.630682999999999883e-01,5.200538999999999579e-01,4.505973999999999813e-01,5.974270000000000413e-01,6.359188000000000063e-01,5.351517000000000079e-01,5.810821999999999932e-01,5.190920444444444559e-01
2.472289999999999964e+03,5.219397999999999538e-01,5.622724999999999529e-01,3.974407999999999830e-01,4.158223999999999809e-01,5.949341000000000212e-01,4.811478000000000144e-01,6.046154000000000250e-01,5.486107999999999540e-01,5.499623000000000150e-01,5.196384333333332606e-01
2.472529999999999745e+03,4.430203999999999809e-01,4.307726000000000055e-01,4.226102999999999943e-01,5.167464999999999975e-01,5.144779000000000435e-01,5.950735999999999803e-01,5.659786999999999457e-01,4.956742000000000092e-01,5.703861999999999544e-01,5.060822666666666692e-01
2.472769999999999982e+03,4.143865999999999938e-01,4.824811999999999990e-01,3.978946999999999901e-01,3.868062999999999918e-01,5.421420000000000128e-01,5.183218000000000547e-01,4.178814000000000140e-01,5.282092000000000453e-01,5.559982999999999453e-01,4.715690555555556163e-01
2.473019999999999982e+03,4.049889999999999879e-01,4.550720999999999794e-01,4.555164999999999909e-01,4.660471999999999948e-01,4.955470000000000153e-01,3.837115999999999860e-01,5.113912999999999931e-01,5.024383999999999517e-01,4.526024000000000158e-01,4.585906111111111016e-01
2.473259999999999764e+03,4.226623999999999937e-01,4.371285999999999783e-01,4.831636000000000264e-01,4.928989999999999760e-01,4.118595999999999924e-01,4.685015000000000152e-01,4.933088999999999946e-01,5.156218999999999664e-01,4.494407999999999737e-01,4.638429222222221759e-01
2.473500000000000000e+03,4.557475999999999750e-01,5.023836000000000412e-01,5.331749000000000072e-01,5.200884999999999536e-01,4.848147999999999902e-01,4.699682000000000026e-01,4.678611999999999771e-01,4.438989999999999880e-01,5.315071000000000101e-01,4.899383222222221668e-01
2.473750000000000000e+03,4.231796999999999920e-01,4.859478999999999882e-01,4.245151999999999815e-01,4.594396000000000035e-01,4.525631999999999988e-01,5.318142999999999621e-01,4.792808000000000068e-01,4.615371999999999808e-01,3.925900999999999974e-01,4.567631111111111197e-01
